timestamp_ms,roll_deg,pitch_deg,yaw_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,label
0,-2.7882,6.089,1.4957,-5.5492,20.5321,24.6701,0
20,-0.1871,7.5478,3.5508,-1.66,16.8913,13.38,0
40,1.685,11.873,4.9063,9.9524,9.7694,8.911,0
60,0.1353,7.0017,3.2843,2.8549,0.7927,4.321,0
80,0.5064,4.5311,2.1804,-4.8044,7.8542,6.8805,0
100,-1.288,2.0501,1.2621,4.2317,8.4067,8.862,0
120,18.4011,34.2214,23.7665,95.7227,152.3245,153.5498,1
140,0.666,4.3861,2.8055,0.6129,11.1529,12.9073,0
160,1.3357,3.8936,2.233,0.5717,8.375,4.0829,0
180,33.9222,55.776,34.2207,183.7484,243.7109,308.6722,1
200,35.069,57.4022,32.68,166.3552,260.4787,300.796,1
220,11.2897,24.5318,11.5854,97.137,137.9048,130.9024,1
240,0.3808,-1.0056,1.3484,7.4465,6.2982,9.0081,0
260,40.5338,41.5737,36.1562,216.3806,173.9848,244.2336,1
280,25.3771,11.1815,18.0208,202.28,127.97,197.6859,1
300,29.9072,12.7996,15.943,257.2356,161.8371,242.7509,1
320,0.3584,2.4917,2.6927,11.4837,4.4283,16.7467,0
340,3.3948,0.9966,2.4551,17.1559,5.1809,12.3828,0
360,38.7492,31.1343,25.3867,236.0633,166.8244,245.1197,1
380,10.8545,8.05,6.8444,11.2236,9.2428,21.8895,0
400,13.836,4.634,7.8784,15.2419,-2.5407,13.7623,0
420,13.1403,4.4899,6.2691,6.9755,14.4335,6.1036,0
440,12.4356,4.4776,6.7275,1.2284,3.803,3.4942,0
460,31.2233,11.1985,21.1894,126.2762,56.2709,104.8701,1
480,14.7477,4.953,8.0416,-0.9721,-3.7034,6.4655,0
500,75.5798,-4.766,48.545,163.9562,-0.7849,108.559,1
520,13.8997,-0.2433,6.7638,10.9087,7.7132,0.5576,0
540,7.2048,1.11,4.8264,16.7883,3.9066,15.8241,0
560,13.8291,-0.5698,8.2834,13.9351,6.5716,13.4876,0
580,1.641,0.9617,1.8704,6.2458,-6.7421,5.5745,0
600,3.1538,-2.6465,1.6944,7.8666,0.69,11.2952,0
620,15.1532,0.5826,8.3942,5.7233,4.3987,2.6258,0
640,5.4888,0.5488,2.1662,6.2547,5.6327,1.4745,0
660,13.2592,-4.4754,8.0034,14.7706,-5.3752,-5.1554,0
680,9.4118,-6.1981,6.0918,3.1796,0.9856,1.8583,0
700,83.2814,-37.7182,52.2702,125.5841,-114.3867,96.5829,1
720,8.4389,-3.8018,5.3197,-8.3307,-2.9887,3.6063,0
740,11.6012,-2.0521,7.6221,13.3956,-8.368,3.9785,0
760,41.8872,-24.5764,26.8093,129.8585,-318.3388,78.4032,1
780,13.9885,-5.3129,6.4335,13.755,-8.0457,9.576,0
800,5.476,-23.5009,36.6945,91.9601,-84.5345,54.619,1
820,6.4617,-4.1833,3.6199,-0.8083,-2.9483,1.0485,0
840,70.5915,-45.0827,45.1398,30.2201,-148.9336,0.3487,1
860,6.0056,-1.9475,3.6354,5.3495,-9.3695,1.5247,0
880,55.4501,-48.0388,36.0932,-45.8694,-175.4812,-36.1097,1
900,4.6819,-3.8115,3.8104,2.4802,-12.612,-3.625,0
920,9.2974,-10.8032,7.7384,-0.8038,-17.1532,-4.7196,0
940,0.8172,-1.4411,1.4142,5.5602,-16.1977,-3.2326,0
960,46.8676,-57.4792,36.6856,-70.1867,-231.1272,-65.9692,1
980,7.1747,-11.827,6.362,-6.498,-15.9051,-5.2532,0
1000,23.4831,-37.1953,18.5685,-70.1837,-116.567,-70.9497,1
1020,1.4065,-9.3984,4.5276,-13.9227,-12.7729,0.419,0
1040,3.4671,-5.597,2.7781,-22.0829,-26.0044,-15.29,0
1060,4.4437,-7.0019,3.0624,-11.0268,-16.5726,-8.4992,0
1080,1.1392,-2.1884,-0.2591,-1.0429,-4.6876,-5.4933,0
1100,4.9379,-11.5728,5.6875,3.5459,-6.7959,-11.1332,0
1120,27.5689,-61.8528,31.6034,-118.5569,-185.2595,-126.709,1
1140,-0.6682,-4.1289,1.9612,2.7171,-6.7082,3.0305,0
1160,11.8624,-31.5571,11.2621,-110.6278,-143.539,-92.668,1
1180,7.3035,-34.0004,15.2903,-288.658,-278.4793,-206.6843,1
1200,12.242,-42.3784,138.0287,-274.657,-317.4118,-196.2138,1
1220,0.9181,-8.2156,2.3345,-7.5896,-5.7924,1.3894,0
1240,-4.6637,-22.2536,10.6372,-136.2919,-142.5018,-108.127,1
1260,-0.2127,-44.1159,19.3847,-168.8363,-221.7604,-178.3314,1
1280,-0.3438,-32.3457,16.6388,-218.7544,-244.6066,-175.0898,1
1300,-1.0171,-1.7593,2.6155,-13.3133,-14.2968,-17.3492,0
1320,-23.5268,-43.9103,19.6874,-247.1603,-164.8469,-186.4628,1
1340,-7.8188,-21.0269,14.8368,-105.9759,-24.1166,-100.9851,1
1360,-5.9133,-6.902,3.045,-0.8503,-1.5544,-5.3724,0
1380,-17.8883,-15.7014,9.0558,-188.6201,-142.8805,-196.8188,1
1400,-2.7672,-4.6345,1.1699,-19.0178,-15.9035,-21.5567,0
1420,-2.2577,-3.3001,0.5988,-8.2284,0.9051,-10.6771,0
1440,-3.9274,-7.8103,2.4254,-9.9433,-16.1403,-18.0695,0
1460,-7.7898,-2.1631,1.6186,4.5169,-1.9882,-2.3495,0
1480,-36.6952,39.0637,10.2092,-192.2063,-121.3746,-220.0321,1
1500,-4.0412,0.0018,-0.781,-5.8975,-4.7197,-6.0272,0
1520,-41.0924,-15.0153,5.1442,-269.6662,-166.3561,-320.3714,1
1540,-9.531,-6.9815,0.3693,-5.208,-3.4195,-3.8436,0
1560,-26.1892,-8.1409,2.0258,-186.4135,-94.5288,-265.3072,1
1580,-66.9672,0.5263,0.6858,-79.1532,-13.999,-107.7898,1
1600,-41.7499,-11.9935,3.034,-118.5509,-40.9954,-154.2248,1
1620,-0.3568,0.1593,0.4962,-9.1176,-2.3793,-3.9114,0
1640,-63.9525,-1.9328,0.184,-153.4437,-37.7906,-262.6712,1
1660,-67.0354,36.1393,-0.726,-70.6421,-8.533,-140.5994,1
1680,-4.4555,-0.3273,0.2037,0.4287,-4.8974,-7.6883,0
1700,-12.3045,3.481,-0.9528,0.361,4.7705,-18.0878,0
1720,-10.464,4.4321,0.0119,1.256,1.5983,-19.7979,0
1740,-9.1144,2.0043,-0.6443,-2.0499,3.9129,-14.0612,0
1760,-10.5333,0.158,-1.7512,-4.7451,0.1964,-3.2577,0
1780,-38.7081,3.0405,-5.5233,-101.7847,82.3405,-284.4357,1
1800,-1.9987,1.3354,0.2935,-2.6243,8.1933,-9.966,0
1820,-7.1583,3.5909,-2.4843,2.7006,5.5283,1.5917,0
1840,-3.9693,1.5017,0.3855,-1.5822,7.2751,-12.442,0
1860,-46.8806,13.7001,105.3585,-17.6494,65.0274,-272.3426,1
1880,-1.9011,0.4978,-1.5435,-4.9855,5.0904,-6.8187,0
1900,-6.8071,7.2207,-2.3767,15.3945,17.7562,-6.805,0
1920,-3.362,0.3496,0.4845,10.7558,14.3545,-9.1393,0
1940,-14.8249,7.5873,-4.2012,3.9684,3.3798,-8.9474,0
1960,-1.813,-1.2496,-1.1185,7.1673,8.1909,-9.8385,0
1980,-11.7186,9.747,-5.8053,-1.9821,4.5057,-5.786,0
2000,-29.4026,27.2864,-11.8935,95.9182,117.2952,-58.3921,1
2020,-13.2857,8.8598,-6.1148,-0.2066,13.1646,5.2509,0
2040,-33.2094,21.0369,-14.7697,143.9242,170.1302,-122.6922,1
2060,-63.5499,39.0333,-18.714,125.4033,126.2789,-85.0036,1
2080,-2.8789,2.8525,-1.5421,0.2283,3.8081,-2.0007,0
2100,-63.6634,56.3791,-25.8609,119.1883,89.7277,-99.083,1
2120,-1.6424,3.0443,-2.0363,26.7837,27.1916,-7.3264,0
2140,-10.4208,10.7111,-6.4604,8.7941,10.8519,0.0042,0
2160,-57.6766,61.6899,-35.7836,175.7995,199.3569,-83.1692,1
2180,-5.3043,6.2728,-2.1951,13.8985,19.5833,-3.6238,0
2200,-34.0232,49.1243,-29.1389,254.4094,249.2875,-10.322,1
2220,-0.9571,2.042,-2.2701,-4.0822,7.1173,-0.0191,0
2240,-3.4376,4.2466,-3.3544,8.4962,17.9718,3.0457,0
2260,-8.9135,10.8582,-6.9015,5.707,-2.9969,-3.0287,0
2280,-3.7489,5.2149,-3.1185,12.9803,5.0312,2.4003,0
2300,-8.1202,8.9749,-5.1806,8.0488,0.5768,-0.1665,0
2320,-55.4151,41.451,-24.2911,191.7465,223.0729,15.1428,1
2340,-4.367,10.8097,-9.1446,10.9964,4.2688,3.8709,0
2360,-1.4682,1.9213,-1.1406,10.9332,22.6797,3.3965,0
2380,-26.1354,55.1294,-46.6381,122.2865,167.0102,67.1589,1
2400,-4.5227,9.3395,-9.6595,23.8658,31.0263,4.0079,0
2420,-2.5753,3.6407,-2.7592,24.8678,22.8925,6.932,0
2440,-2.2889,3.8304,-2.3468,4.4467,1.9439,2.5555,0
2460,-3.0021,8.4077,-5.1654,27.7265,27.9677,10.9017,0
2480,0.9368,2.7197,-1.7004,9.3518,7.549,1.8813,0
2500,-14.2323,25.1561,-30.4385,135.7046,229.3084,86.2952,1
2520,-0.6607,4.556,-5.0084,20.784,17.3752,17.4409,0
2540,0.5194,2.116,-2.936,5.3539,6.5976,8.1564,0
2560,3.3893,23.2202,-120.3465,83.253,68.7036,78.6555,1
2580,-0.2868,5.1044,-7.2899,2.1804,7.3547,3.8287,0
2600,1.4911,-0.7523,-1.6788,0.501,14.3946,13.5778,0
